head,pct_retained,sens_p0.1,spec_p0.1,sens_p0.2,spec_p0.2,sens_p0.5,spec_p0.5
l27_h2,0.00245,0.7551020408163265,0.998646684376723,0.7551020408163265,0.998646684376723,0.5918367346938775,0.9989474211818956
l27_h3,0.01545,0.6731391585760518,0.9667360723173023,0.5339805825242718,0.982885582245696,0.3106796116504854,0.9949723223807831
l27_h4,0.00195,0.9487179487179487,0.9985972646660989,0.9487179487179487,0.9986473623565953,0.9487179487179487,0.9986473623565953
l27_h5,0.00195,1.0,0.9985471669756024,1.0,0.9985972646660989,1.0,0.9986473623565953
l27_h6,0.0182,0.5467032967032966,0.968781829293135,0.42857142857142855,0.9827867182725606,0.22802197802197802,0.9935832145039722
l27_h7,0.00345,0.5652173913043478,0.9967889217801414,0.5362318840579711,0.9975916913351062,0.5362318840579711,0.998444633987256
l2_h0,0.01095,0.0045662100456621,0.998887821647035,0.0,1.0,0.0,1.0
l2_h1,0.1223,0.8221586263287,0.366412213740458,0.4423548650858545,0.8846986441836618,0.0,1.0
l2_h2,0.095,0.6505263157894737,0.6540331491712708,0.24736842105263157,0.9556353591160222,0.0,1.0
l2_h3,0.0533,0.2954971857410882,0.9244216752931235,0.021575984990619138,0.9983099186648358,0.0,1.0
l2_h4,0.1521,0.9145299145299145,0.32704328340606204,0.46679815910585143,0.8368911428234461,0.0,1.0
l2_h5,0.3137,1.0,0.0,0.9899585591329295,0.02717470493953082,0.0,1.0
l2_h6,0.0544,0.09558823529411764,0.9668464467005076,0.0,0.9998413705583756,0.0,1.0
l2_h7,0.1586,0.9542875157629256,0.1650820061801759,0.6497477931904161,0.666864749227478,0.0,1.0
l3_h0,0.0772,0.7286269430051814,0.7266471608149111,0.3283678756476684,0.9368227134807109,0.011658031088082901,0.9985912440398786
l3_h1,0.0099,0.24242424242424243,0.9970710029289971,0.18686868686868688,0.9986365013634987,0.0,1.0
l3_h2,0.00265,0.7169811320754716,0.9922294079310172,0.6981132075471698,0.9980949516217977,0.0,1.0
l3_h3,0.0034,0.5441176470588235,0.9948324302628938,0.5441176470588235,0.9984447120208709,0.0,1.0
l3_h4,0.01045,0.18660287081339713,0.9928250214744075,0.17703349282296652,0.99853468748421,0.17703349282296652,0.9986357435197817
l3_h5,0.2822,0.9945074415308292,0.052242964614098636,0.920623671155209,0.22638617999442742,0.0,1.0
l3_h6,0.12475,0.9142284569138277,0.287460725506998,0.22685370741482966,0.9085404170237075,0.0,0.9999428734647243
l3_h7,0.07145,0.6529041287613716,0.7904259329061439,0.185444366689993,0.971676269452372,0.0,1.0
l4_h0,0.00185,1.0,0.9986474978710614,1.0,0.9986474978710614,0.0,1.0
l4_h1,0.0165,0.7212121212121212,0.9689374682257245,0.5787878787878787,0.9831723436705643,0.0,1.0
l4_h2,0.0036,0.5138888888888888,0.9985949417904456,0.5138888888888888,0.9986451224407868,0.0,1.0
l4_h3,0.0033,0.5606060606060606,0.9983445369720076,0.5606060606060606,0.9986455302498244,0.0,1.0
l4_h4,0.01635,0.691131498470948,0.9714837594672902,0.45565749235474007,0.9910537284603264,0.0,1.0
